,Artiste,Titre,Année,Ventes
0,Bing Crosby,White Christmas,1942,50.0
1,Elton John,Candle in the Wind 1997,1997,33.0
2,Mungo Jerry,In the Summertime,1970,30.0
3,Bing Crosby,Silent Night,1935,30.0
4,Bill Haley,Rock Around the Clock,1954,25.0
5,Domenico Modugno,Nel blu dipinto di blu,1958,22.0
6,Whitney Houston,I Will Always Love You,1992,20.0
7,Elvis Presley,It's Now or Never,1960,20.0
8,USA for Africa,We Are the World,1985,20.0
9,The Ink Spots,If I Didn't Care,1939,19.0
10,Céline Dion,My Heart Will Go On,1997,18.0
11,The Beatles,I Want to Hold Your Hand,1963,15.0
12,John Travolta,You're the One That I Want,1978,15.0
13,Bryan Adams,(Everything I Do) I Do It for You,1991,15.0
14,Mariah Carey,All I Want for Christmas Is You,1994,14.0
15,Herman's Hermits,"Mrs. Brown, You've Got a Lovely Daughter",1965,14.0
16,Scorpions,Wind of Change,1990,14.0
17,Robert Miles,Children,1995,13.0
18,Gene Autry,Rudolph the Red-Nosed Reindeer,1949,12.5
19,Band Aid,Do They Know It's Christmas?,1984,12.0
20,Andrea Bocelli,Time to Say Goodbye,1995,12.0
21,Lou Bega,Mambo No. 5,1999,12.0
22,Village People,Y.M.C.A.,1978,12.0
23,Cher,Believe,1998,11.0
24,Carl Douglas,Kung Fu Fighting,1974,11.0
25,Terry Jacks,Seasons in the Sun,1974,11.0
26,George McCrae,Rock Your Baby,1974,11.0
27,The Mills Brothers,Paper Doll,1943,11.0
28,Roger Whittaker,The Last Farewell,1971,11.0
29,ABBA,Fernando,1976,10.0
30,Ace of Base,All That She Wants,1992,10.0
31,Roy Acuff,Wabash Cannonball,1942,10.0
32,Paul Anka,Diana,1957,10.0
33,Boney M.,Rivers of Babylon,1978,10.0
34,Toni Braxton,Un-Break My Heart,1996,10.0
35,Culture Beat,Mr. Vain,1993,10.0
36,The Knack,My Sharona,1979,10.0
37,Lipps Inc.,Funkytown,1980,10.0
38,Los del Río,Macarena,1995,10.0
39,Middle of the Road,Chirpy Chirpy Cheep Cheep,1971,10.0
40,The Monkees,I'm a Believer,1966,10.0
41,Patti Page,Tennessee Waltz,1950,10.0
42,Panjabi MC,Mundian To Bach Ke,1998,10.0
43,The Penguins,Earth Angel,1954,10.0
44,Elvis Presley,Heartbreak Hotel,1956,10.0
45,Elvis Presley,Hound Dog,1956,10.0
46,Procol Harum,A Whiter Shade of Pale,1967,10.0
47,Britney Spears,...Baby One More Time,1999,10.0
48,Van McCoy,The Hustle,1975,10.0
49,Wings,Mull of Kintyre,1977,9.0
50,The Animals,The House of the Rising Sun,1964,8.0
51,Hey Jude,Hey Jude,1968,8.0
52,Mary Hopkin,Those Were the Days,1968,8.0
53,Paul Hardcastle,19,1985,8.0
54,Mahalia Jackson,Move On Up a Little Higher,1948,8.0
55,M,Pop Muzik,1979,8.0
56,Modern Talking,"You're My Heart, You're My Soul",1984,8.0
57,Nirvana,Smells Like Teen Spirit,1991,8.0
58,O-Zone,Dragostea din tei,2004,8.0
59,Shocking Blue,Venus,1969,8.0
60,Maurice Williams and the Zodiacs,Stay,1960,8.0
61,4 Non Blondes,What's Up?,1993,7.0
62,The Black Crowes,Hard to Handle,1990,7.0
63,Chic,Le Freak,1978,7.0
64,Georgie Fame,The Ballad of Bonnie and Clyde,1967,7.0
65,Danyel Gérard,Butterfly,1971,7.0
66,Las Ketchup,Aserejé,2002,7.0
67,Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair),1967,7.0
68,Roy Orbison,"Oh, Pretty Woman",1964,7.0
69,Queen,Another One Bites the Dust,1980,7.0
70,Julie Rogers,The Wedding,1964,7.0
71,Amazing Grace,Amazing Grace,1972,7.0
72,Spice Girls,Wannabe,1996,7.0
73,Ricky Valance,Tell Laura I Love Her,1960,7.0
74,Artie Shaw,Begin the Beguine,1938,6.5
75,Culture Club,Do You Really Want to Hurt Me,1982,6.5
76,Eiffel 65,Blue (Da Ba Dee),1999,6.5
77,The Archies,"Sugar, Sugar",1969,6.0
78,Can't Buy Me Love,Can't Buy Me Love,1964,6.0
79,The Champs,Tequila,1958,6.0
80,Clout,Substitute,1978,6.0
81,Coolio,Gangsta's Paradise,1995,6.0
82,Bing Crosby,Jingle Bells,1943,6.0
83,Vernon Dalhart,The Prisoner's Song,1970,6.0
84,Dawn featuring Tony Orlando,Tie a Yellow Ribbon Round the Ole Oak Tree,1973,6.0
85,Neil Diamond,Cracklin' Rosie,1970,6.0
86,Frankie Goes to Hollywood,Relax,1983,6.0
87,Harry Simeone Chorale,The Little Drummer Boy,1958,6.0
88,The Jackson Five,I Want You Back,1969,6.0
89,Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,1957,6.0
90,Lio,Amoureux solitaires,1980,6.0
91,Madonna,Vogue,1990,6.0
92,George Michael,Careless Whisper,1984,6.0
93,Rick Nelson,Travelin' Man,1961,6.0
94,The New Seekers,I'd Like to Teach the World to Sing (In Perfect Harmony),1971,6.0
95,Elvis Presley,Don't Be Cruel,1956,6.0
96,Rick Dees,Disco Duck,1976,6.0
97,Jeannie C. Riley,Harper Valley P.T.A.,1968,6.0
98,Simon and Garfunkel,Bridge over Troubled Water,1970,6.0
99,My Boy Lollipop,My Boy Lollipop,1964,6.0
100,Stars on 45,Stars on 45,1981,6.0
101,Tony Orlando and Dawn,Knock Three Times,1970,6.0
102,Bonnie Tyler,It's a Heartache,1977,6.0
103,Bonnie Tyler,Total Eclipse of the Heart,1983,6.0
104,Tino Rossi,Petit Papa Noël,1946,5.7
105,1910 Fruitgum Company,Simon Says,1967,5.0
106,ABBA,Waterloo,1974,5.0
107,Gene Austin,My Blue Heaven,1927,5.0
108,Gene Autry,That Silver-Haired Daddy of Mine,1935,5.0
109,Charles Aznavour,She,1974,5.0
110,She Loves You,She Loves You,1963,5.0
111,Bee Gees,Massachusetts,1963,5.0
112,Debby Boone,You Light Up My Life,1977,5.0
113,The Buggles,Video Killed the Radio Star,1979,5.0
114,Culture Club,Karma Chameleon,1983,5.0
115,Teach Me Tonight,Teach Me Tonight,1954,5.0
116,Enigma,Sadeness (Part I),1990,5.0
117,Fatboy Slim,The Rockafeller Skank,1998,5.0
118,George Harrison,My Sweet Lord,1970,5.0
119,Engelbert Humperdinck,Release Me,1967,5.0
120,I Santo California,Torneró,1974,5.0
121,I'll Be There,I'll Be There,1970,5.0
122,Tom Jones,Delilah,1968,5.0
123,Kaoma,Lambada,1989,5.0
124,Jerry Lee Lewis,Great Balls of Fire,1957,5.0
125,Like a Prayer,Like a Prayer,1989,5.0
126,Ricky Martin,María,1995,5.0
127,Michael Zager Band,Let's All Chant,1977,5.0
128,Mitch Miller,March from the River Kwai,1957,5.0
129,The Monkees,Daydream Believer,1967,5.0
130,Art Mooney and His Orchestra,Bluebird of Happiness,1948,5.0
131,Art Mooney and His Orchestra,I'm Looking Over a Four Leaf Clover,1948,5.0
132,Musical Youth,Pass the Dutchie,1982,5.0
133,Donny Osmond,Puppy Love,1972,5.0
134,The Partridge Family,I Think I Love You,1970,5.0
135,Elvis Presley,Surrender,1961,5.0
136,Gerry Rafferty,Baker Street,1978,5.0
137,Cliff Richard,We Don't Talk Anymore,1979,5.0
138,Nini Rosso,Il Silenzio,1965,5.0
139,David Seville,The Chipmunk Song (Christmas Don't Be Late),1958,5.0
140,Staff Sergeant Barry Sadler,Ballad of the Green Berets,1966,5.0
141,Tag Team,Whoomp! (There It Is),1993,5.0
142,Three Dog Night,Joy to the World,1971,5.0
143,Tommy James and the Shondells,Crimson and Clover,1968,5.0
144,The Tornados,Telstar,1962,5.0
145,Zager and Evans,In the Year 2525,1978,5.0
